product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route,strength,strength_unit,description
0904-6221,Ursodiol,Ursodiol,Major Pharmaceuticals,CAPSULE,ORAL,300,mg,
0280-0142,"dextromethorphan hydrobromide, doxylamine succinate, acetaminophen",,Bayer HealthCare LLC.,CAPSULE,,325,mg,
0480-3494,Gabapentin,,"Teva Pharmaceuticals, Inc.",CAPSULE,,100,mg,
10267-3711,"Acetaminophen, Diphenhydramine Hydrochloride",,Contract Pharmacal Corp.,"TABLET, FILM COATED",,325,mg,
10888-8134,Ibuprofen,,Patheon Softgels Inc.,CAPSULE,,200,mg,
11014-0380,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE, AMPHETAMINE SULFATE",,"Catalent Pharma Solutions, LLC",CAPSULE,,7.5,mg,
11712-822,Rilpivirine,,Delmar Chemicals Inc.,POWDER,,1,kg,
12598-9553,Mesalamine,,PharmaZell GmbH,POWDER,,1,kg,
12784-448,Magnesium Hydroxide,,"SPI Pharma, Inc.",POWDER,,98,kg,
14403-0017,Tirzepatide,,"Hybio Pharmaceutical Co., Ltd.",POWDER,,1,g,
17314-603,darunavir ethanolate,,JANSSEN ORTHO LLC,"TABLET, FILM COATED",,150,mg,
17359-1800,Cannabidiol,,Indena SpA,POWDER,,1,g,
22568-1157,Fenoprofen Calcium,,W. R. GRACE & CO.-CONN.,POWDER,,1,kg,
14593-870,Memantine Hydrochloride,,Emcure Pharmaceuticals Limited,POWDER,,5,kg,
15894-0027,Sofosbuver,,Teva API India Private Ltd,POWDER,,100,kg,
32861-0004,Icatibant Acetate,,Chengdu Shengnuo Biopharm Co. Ltd.,POWDER,,1,kg,
38779-0454,Papaverine Hydrochloride,,Medisca Inc.,POWDER,,1,g,
40074-0006,Medetomidine Hydrochloride,,"Interquim, S.A. de C.V.",POWDER,,1,g,
42419-031,Deferasirox,,CTX Lifesciences Pvt. Ltd.,POWDER,,25,kg,
42973-194,PHENTOLAMINE MESYLATE,,Apicore Pharmaceuticals Private Limited,POWDER,,1,kg,
43742-1714,"Borrelia Burgdorferi Nosode, DNA",,"Deseret Biologicals, Inc.",LIQUID,,10,[hp_M],
43742-2016,Coccidioides Posadasii,,"Deseret Biologicals, Inc.",LIQUID,,10,[hp_M],
0904-7512,Guaifenesin and Dextromethorphan,Guaifenesin and Dextromethorphan,Major Pharmaceuticals,SYRUP,ORAL,10,mg,
0904-7552,baclofen,BACLOFEN,Major Pharmaceuticals,TABLET,ORAL,10,mg,
46602-0039,BREXPIPRAZOLE,,"OTSUKA PHARMACEUTICAL CO., LTD.",TABLET,,3,mg,
49812-0075,Oxaliplatin,,"Veranova, L.P.",POWDER,,40,kg,
50384-0600,Fomepizole,,Sterling Pharma Solutions Limited,LIQUID,,2000,g,
50941-599,budesonide,,L. Perrigo Company,CAPSULE,,3,mg,
0924-0142,"Acetaminophen, Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride",Physicians Care Non-Drowsy Cold and Cough,Acme United,"TABLET, FILM COATED",ORAL,325,mg,
0924-1133,Hydrocortisone,Hydrocortisone,Acme United Corporation,CREAM,TOPICAL,10,mg,
49452-6011,PRILOCAINE,,"Spectrum Laboratory Products, Inc.",POWDER,,1,g,
51552-1419,Chloramphenicol,,Fagron Inc,POWDER,,1,kg,
51927-0085,DAPSONE,,Professional Compounding Centers of America dba PCCA,POWDER,,35,kg,
51927-1049,TRIAMCINOLONE,,Professional Compounding Centers of America dba PCCA,POWDER,,1,g,
52048-0420,Apixaban,,"Jiangxi Synergy Pharmaceutical Co., Ltd.",POWDER,,1,kg,
52482-018,Cabotegravir Sodium,,Glaxo Wellcome Manufacturing Pte. Ltd,POWDER,,1,kg,
61503-315,TITANIUM DIOXIDE,,Tayca Corporation,POWDER,,10,kg,
62158-0013,Bleomycin Sulfate,,"Hubei Honch Pharmaceutical Co., Ltd.",POWDER,,1,g,
62485-043,"Acetaminophen, Aspirin and Caffeine",,TCB USA Corporation,"TABLET, COATED",,250,mg,
62756-939,Irinotecan Hydrochloride Trihydrate,,"SUN PHARMACEUTICAL INDUSTRIES, INC.",POWDER,,25,kg,
62991-3190,Penicillamine,,"LETCO MEDICAL, LLC",POWDER,,1,g,
63285-757,lenvatinib,,Patheon Inc.,CAPSULE,,10,mg,
53044-004,Baloxavir marboxil,,"Shionogi Pharma Co., Ltd.",POWDER,,1,kg,
53296-0041,Felodipine,,Medichem S.A.,POWDER,,75,kg,
54088-201,Zinc Oxide,,"Sakai Chemical Industry Co.,Ltd.",POWDER,,10,kg,
54893-0012,Erlotinib Hydrochloride,,MSN Laboratories Private Limited,POWDER,,1,kg,
55111-467,Metoprolol succinate,,Dr. Reddy's Laboratories Limited,"TABLET, EXTENDED RELEASE",,50,mg,
58159-013,Dimethyl Fumarate,,NURAY CHEMICALS PRIVATE LIMITED,POWDER,,35,kg,
58437-021,lamotrigine,,GlaxoSmithKline LLC,"TABLET, FILM COATED, EXTENDED RELEASE",,100,mg,
55500-0008,Polymyxin B Sulfate,,North China Pharmaceutical Huasheng Co. Ltd.,POWDER,,1,kg,
57218-511,Ephedrine Sulfate,,Malladi Drugs & Pharmaceuticals Limited,POWDER,,1,kg,
57572-0721,CYCLOPENTOLATE HCl,,Esteve Quimica SA,POWDER,,1,kg,
59116-2646,Fentanyl,,"Cambrex Charles City, Inc",POWDER,,1,kg,
59644-9932,Acetaminophen DC90-10SD,,"Anqiu Lu'an Pharmaceutical Co., Ltd.",POWDER,,1,kg,
10157-1006,SALICYLIC ACID,Stridex Maximum,Blistex Inc.,LIQUID,TOPICAL,2,g,
10157-4104,"Dimethicone, UNSPECIFIED, Octinoxate, and Octisalate",Medicated Peppermint Lip Balm,Blistex Inc,STICK,TOPICAL,2,g,
10202-150,Ibuprofen,CHILDRENS IBUPROFEN,7-Eleven,SUSPENSION,ORAL,100,mg,
10893-100,PHOSPHORIC ACID,Naturasil Acne,"Nature's Innovation, Inc.",LIQUID,TOPICAL,6,[hp_X],
71052-011,"2,3-Dimercaptosuccinic Acid (DMSA)",,"DARMERICA, LLC",POWDER,,1000,g,
68475-021,Remifentanil HCl,,"Navinta LLC, NJ, USA",POWDER,,500,g,
68634-061,"HOMOSALATE, OXYBENZONE, OCTISALATE, AVOBENZONE AND OCTOCRYLENE",,"AMCOL Health & Beauty Solutions, Inc. DBA",LIQUID,,30,g,
10742-8386,Lidocaine HCl,Mentholatum Lidocaine Heat,The Mentholatum Company,CREAM,TOPICAL,40,mg,
69806-0094,CILASTATIN SODIUM,,Merck Sharp & Dohme Corp.,POWDER,,1,kg,
64743-479,Ledum palustre 4X,,Herbamed AG,LIQUID,,4,[hp_X],
65085-0073,VARENICLINE TARTRATE,,Piramal Pharma Limited,POWDER,,1,kg,
63552-027,Montelukast Sodium,,Patheon Manufacturing Services LLC,GRANULE,,4,mg,
63943-0033,Dexbrompheniramine Maleate,,Keshava Organics Pvt Ltd,CONCENTRATE,,1,kg,
64552-4002,Tolterodine Tartrate,,"Interquim, S.A.",POWDER,,1,kg,
65319-1104,Barbital,,Chemische Fabrik Berg GmbH,POWDER,,1,kg,
65604-316,Packaged Bulk Single-Step,,Akron Coating & Adhesives,PATCH,,40,g,
65841-197,Tizanidine Hydrochloride,,Zydus Lifesciences Limited,POWDER,,1,kg,
65862-368,Quinapril Hydrochloride,,Aurobindo Pharma Limited,POWDER,,50,kg,
65862-704,Ziprasidone Hydrochloride,,Aurobindo Pharma Limited,CAPSULE,,60,mg,
65977-0149,Sertraline Hydrochloride,,HETERO DRUGS LIMITED,POWDER,,1,kg,
66064-3100,Glycopyrrolate,,Harman Finochem Limited,POWDER,,2,kg,
66558-0211,CLOXACILLIN SODIUM,,Fresenius Kabi iPSUM S.r.l.,POWDER,,1,kg,
67643-0028,Fremanezumab,,"Lonza Biologics, Inc.",LIQUID,,150,mg,
68108-0772,Atomoxetine Hydrochloride,,"SCI Pharmtech, Inc.",POWDER,,1,kg,
