product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route
82604-600,phenylephrine and ketorolac,Omidria,Rayner Surgical Inc.,"INJECTION, SOLUTION, CONCENTRATE",INTRAOCULAR
82969-9028,"Calc Fluor, Calc Phos, Calc Sulph, Ferr Phos, Kali Mur, Kali Phos, Kali Sulph, Mag Phos, Nat Mur, Nat Phos, Nat Sulph, Silicea",Bestmade Natural Products BIO28,Bestmade Natural Products,LIQUID,ORAL
83027-0032,"Alfalfa, Banana, Valeriana Officinalis, Cholinum, Gaba (Gamma Aminobutyric Acid), Inositol, Oleander, Hypophysis Suis, Hypothalamus Suis, Pineal Gland (Suis), Scutellaria Lateriflora, Acetylcholine Chloride, Norepinephrine (Bitartrate), Cadmium Metallicum, Dopamine (Hydrochloride), Serotonin (Hydrochloride), Adrenalinum",Neuro T Support Liquescence,"Nutritional Specialties, Inc.",LIQUID,ORAL
82969-2042,"Aconite NapD2, Baptisia TincD1, China offD1, Eupatorium PerfD1, Filipendula UlmD1",Bestmade Natural Products BM42,Bestmade Natural Products,LIQUID,ORAL
82969-3005,"Ferr Phos, Kali Mur, Nat Mur, Kali Sulph",Bestmade Natural Products Bio5,Bestmade Natural Products,"TABLET, SOLUBLE",ORAL
84126-182,Pyrithione Zinc,Head and Shoulders Bare Minimal Ingredients Itchy Scalp Relief Serum,The Procter & Gamble Manufacturing Company,LIQUID,TOPICAL
84130-021,"Avobenzone, Homosalate, Octisalate",Sun Juice Body Mist Sunscreen SPF30 - Peach Sky PARADISO,Koco Life LLC,SPRAY,TOPICAL
84269-3500,Lidocaine Hydrochloride,Lidocaine Hydrochloride,Wildman Business Group,LIQUID,TOPICAL
84435-104,Zinc Oxide,Counter Beauty Dew Skin Tinted Moisturizer No. 4,"G2G Ventures, PBC",LOTION,TOPICAL
83071-110,Niacinamide,Dr.Jucre Rebirth Booster,"NATURECELL CO., LTD.",LIQUID,TOPICAL
83249-015,Zinc Oxide,RMS SUNCOVERUP SUPER TINT SPF 50 TAWNY,Rms organics LLC,LOTION,TOPICAL
83324-023,"Dextromethorphan HBr, Guaifenesin",QCH Adult Tussin DM 542,Chain Drug Marketing Association Inc.,LIQUID,ORAL
83324-303,Dextromethorphan hydrobromide,QUALITY CHOICE Long Acting Cough Softgel,"Chain Drug Marketing Association, Inc.","CAPSULE, LIQUID FILLED",ORAL
83566-560,Menthol,LETEBEE LIGHT neuropathy pain relief cream for feet,"Guangdong Aimu Biological Technology Co., Ltd",CREAM,TOPICAL
83695-001,"Homosalate,Octocrylene,Avobenzone",SPF 30 Moisturizer with Aloe Vera,"Audrey Morris Cosmetics International, LLC",CREAM,TOPICAL
83804-005,Lidocaine 4%,ELAIMEI Numbing Cream,"Shenzhen Shandian Jingling Technology Co., Ltd.",CREAM,TOPICAL
0703-3671,Methotrexate,Methotrexate,"Teva Parenteral Medicines, Inc.","INJECTION, SOLUTION","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"
0713-0135,Prochlorperazine,Prochlorperazine,"Cosette Pharmaceuticals, Inc.",SUPPOSITORY,RECTAL
84677-013,Amlodipine and Benazepril Hydrochloride,Amlodipine and Benazepril Hydrochloride,"Golden State Medical Supply, Inc.",CAPSULE,ORAL
84830-2431,Zinc Oxide,Alleyoop Sunsational Broad Spectrum,NewAlley Innovations Inc,LOTION,TOPICAL
84999-030,"Calcarea Fluorica,Calcarea Phosphorica,Calcarea Sulphurica,Ferrum Phosphoricum ,Kali Phosphoricum,Kali Muriaticum,Kali Sulphuricum,Magnesia Phosphorica,Natrum Muriaticum,Natrum Phosphoricum,Natrum Sulphuricum,Silicea",Schuessler Tissue Salts Comb 12 General Tonic,Martin & Pleasance Pty Ltd,SPRAY,ORAL
62135-785,mexiletine hydrochloride,MEXILETINE HYDROCHLORIDE,"Chartwell RX, LLC",CAPSULE,ORAL
0268-1024,Ash White,FRAXINUS AMERICANA POLLEN,"ALK-Abello, Inc.","INJECTION, SOLUTION",SUBCUTANEOUS
0268-1198,Hackberry,CELTIS OCCIDENTALIS POLLEN,"ALK-Abello, Inc.","INJECTION, SOLUTION",SUBCUTANEOUS
62559-197,Lorazepam,Lorazepam,"ANI Pharmaceuticals, Inc.",TABLET,ORAL
62670-6674,Alcohol,Anti Bacterial Hand Gel Ocean,"Bath & Body Works, Inc.",GEL,TOPICAL
62670-6946,Alcohol,Anti Bacterial Hand Gel Mrs. Claus Cocktail,"Bath & Body Works, Inc.",GEL,TOPICAL
62756-233,Amphotericin B,Amphotericin B,"Sun Pharmaceutical Industries, Inc.","INJECTABLE, LIPOSOMAL",INTRAVENOUS
63029-594,salicylic acid,Compound W One Step Pads,Medtech Products Inc.,PLASTER,TOPICAL
63083-2151,Varicose Vein Drops,Varicose Vein Drops 2151,Professional Complementary Health Formulas,LIQUID,ORAL
63083-7408,L-Glycine High,L-Glycine High 7408,Professional Complementary Health Formulas,LIQUID,ORAL
63148-328,Benzalkonium Chloride,Hyvee LHS,Apollo Health and Beauty Care,SOAP,TOPICAL
63629-4708,Zolpidem tartrate,Zolpidem tartrate,Bryant Ranch Prepack,"TABLET, EXTENDED RELEASE",ORAL
63629-8523,olmesartan medoxomil,olmesartan medoxomil,Bryant Ranch Prepack,"TABLET, FILM COATED",ORAL
63629-8888,Oxycodone and Acetaminophen,OXYCODONE AND ACETAMINOPHEN,Bryant Ranch Prepack,TABLET,ORAL
0283-0293,Benzocaine,HurriCaine Topical Anesthetic Gel,"Beutlich Pharmaceuticals, LLC",GEL,"DENTAL, ORAL, PERIODONTAL"
63187-434,Paroxetine,Paroxetine,Proficient Rx LP,"TABLET, FILM COATED",ORAL
63187-798,Nortriptyline Hydrochloride,Nortriptyline Hydrochloride,Proficient Rx LP,CAPSULE,ORAL
63304-772,Lorazepam,Lorazepam,SUN PHARMACEUTICAL INDUSTRIES INC,TABLET,ORAL
63323-853,Hydromorphone Hydrochloride,Hydromorphone Hydrochloride,"Fresenius Kabi USA, LLC","INJECTION, SOLUTION","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
