product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route
78271-041,Sodium Bicarbonate,AHHH Bite Relief,78271,GEL,TOPICAL
79481-0063,"dextromethorphan hydrobromide, guaifenesin",adult cough and chest congestion,"Meijer, Inc.",SOLUTION,ORAL
79539-002,Isopropanol and Compound double-stranded quaternary ammonium salts,Instant Hand Sanitizeing Wipe,"Shandong Yayun Sanitary Products Co., Ltd.",CLOTH,TOPICAL
79903-157,"Polyvinyl alcohol, Povidone",Equate Artificial Tears,"Walmart, Inc.",SOLUTION/ DROPS,OPHTHALMIC
76420-354,Eszopiclone,Eszopiclone,"Asclemed USA, Inc.","TABLET, FILM COATED",ORAL
76420-758,Oxycodone Hydrochloride,Oxycodone Hydrochloride,"Asclemed USA, Inc.",TABLET,ORAL
76472-1157,PHYTOLACCA AMERICANA ROOT,Phytolacca Decandra,SEVENE USA,PELLET,SUBLINGUAL
77039-024,alcohol,AWAS ALCOHOLSPRAY,IDO PHARM,SPRAY,TOPICAL
82724-007,Hypromellose Eye Drops 0.7%,Focus PI,COVALENT MEDICAL,FOR SOLUTION,OPHTHALMIC
82804-108,isosorbide dinitrate,ISOSORBIDE DINITRATE,Proficient Rx LP,TABLET,ORAL
82804-994,Phenazopyridine Hydrochloride,Phenazopyridine Hydrochloride,Proficient Rx LP,TABLET,ORAL
82953-010,"Avobenzone,Homosalate,Octocrylene,Octisalate","Sun ,Bug Handsfree 01","Cosmuses Cosmetics (Ningbo) Co., Ltd.",CREAM,TOPICAL
80489-333,Allantoin,Drs. pharmacy Scar Cream,"OL PHARMA TECH, LLC Drs PHARMACY",CREAM,TOPICAL
79913-101,Alcohol/purified water,Alcohol sanitizer wipes,"SHANDONG HENGFA HYGIENIC PRODUCTS CO., LTD.",CLOTH,TOPICAL
80425-0091,Sucralfate,Sucralfate,"Advanced Rx of Tennessee, LLC",TABLET,ORAL
80425-0359,albuterol sulfate,Albuterol Sulfate HFA,"Advanced Rx of Tennessee, LLC","AEROSOL, METERED",RESPIRATORY (INHALATION)
80684-130,ALCOHOL,B Pure Moisturizing Hand Sanitizer Poppy Scented,"Fourstar Group USA, Inc",LIQUID,TOPICAL
81033-266,Valproic Acid,Valproic Acid,Kesin Pharma Corporation,SOLUTION,ORAL
81389-001,ACETAMINOPHEN,SafeTynadol,Sinew Pharma Inc.,"TABLET, COATED",ORAL
0615-8056,SIMVASTATIN,SIMVASTATIN,"NCS HealthCare of KY, LLC dba Vangard Labs","TABLET, FILM COATED",ORAL
0615-8189,ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,"NCS HealthCare of KY, LLC dba Vangard Labs","TABLET, FILM COATED",ORAL
0615-8254,Lisinopril,Lisinopril,"NCS HealthCare of KY, LLC dba Vangard Labs",TABLET,ORAL
82275-001,Alcohol Prep Pads,Isopropyl Alcohol,"Shenzhen Intra Industry Co., Ltd",SWAB,TOPICAL
82442-850,"Avobenzone, Homosalate, Octisalate, Octocrylene",Target Up and Up SPF 50 Banana Scented Sunscreen,TARGET CORPORATION,SPRAY,TOPICAL
82620-001,lidocaine,HemRid Anorectal Cream,KKA & Associates LLC,CREAM,TOPICAL
82996-007,WATER,Eye Wash,"Hubei Changjian Medical Products Co., Ltd.",LIQUID,TOPICAL
83027-0071,"Thuja Occidentalis, Calcarea Carbonica, Silicea, Salmonella Typhi Nosode, Serum Anguillae, Bacillus Tetani(Clostridium Tetani), Malandrinum, Morbillinum, Parotidinum, Rubella Nosode, Yersinia Enterocolitica, Salmonella Enteriditis",Vax Sode,"Nutritional Specialties, Inc.",SPRAY,ORAL
82969-2088,"Ammonium carb, Argentum met, Camphor, Gelsemium, Ignatia, Moschus, Selenium",Bestmade Natural Products BM88,Bestmade Natural Products,LIQUID,ORAL
82969-5008,Ammonium Muriaticum,Bestmade Natural Products Ammonium Mur,Bestmade Natural Products,"TABLET, SOLUBLE",ORAL
0713-0593,Miconazole nitrate,MICONAZOLE 3 COMBINATION PACK (miconazole nitrate) kit,"Cosette Pharmaceuticals, Inc.",KIT,
84165-004,Menthol,COLD HOT CHINESE RED TIGER PAIN RELIEF GeI-Patch,"Guangzhou Zhupuyou E-commerce Co., Ltd",PATCH,TOPICAL
0713-0875,olmesartan medoxomil / amlodipine besylate / hydrochlorothiazide,Tribenzor,"Cosette Pharmaceuticals, Inc.","TABLET, FILM COATED",ORAL
84447-103,Diphenhydramine HCL,Diphenhydramine HCL,Belleview Biosciences,SOLUTION,ORAL
83100-1763,Zinc Oxide,pavise Lip Defense tinted hydrating oil (hue 774),B.A.I. Biosciences INC.,LOTION,TOPICAL
83252-129,Zinc Oxide sunscreen,Oze Sun Mineral Sunscreen SPF50,VEGANIC SKN LIMITED,CREAM,TOPICAL
83324-065,Advanced Hand Sanitizer,Advanced Hand Sanitizer,Chain Drug Marketing Association,LIQUID,TOPICAL
83342-892,Salicylic Acid,Dercos Salicylic Acid Anti-Dandruff Serum,PRODUCTOS CAPILARES L'OREAL SA,LIQUID,TOPICAL
83570-535,Camphora HPUS,Owell Naturals Draw Salve with Aloe,Owell Naturals Brand LLC,SALVE,TOPICAL
83698-263,"QC Antacid Soft Chews, Cherry","QC Ultra Strength Antacid Soft Chews, Cherry","Xiamen Kang Zhongyuan Biotechnology Co., Ltd.","TABLET, CHEWABLE",ORAL
83814-006,BENZALKONIUM CHLORIDE,Zoviro,"Zoviro, LLC",LIQUID,TOPICAL
83986-996,Ethyl Alcohol,Advanced Hand Sanitizer with Aloe,"UpLift Brands, LLC",GEL,TOPICAL
84103-007,prademagene zamikeracel,ZEVASKYN,Abeona Therapeutics Inc.,CELLULAR SHEET,TOPICAL
0781-2335,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE, and AMPHETAMINE SULFATE","Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate",Sandoz Inc,"CAPSULE, EXTENDED RELEASE",ORAL
84876-005,Menthol,Menthol pain relief patches,Menthol pain relief patch,PATCH,TOPICAL
85050-575,OATMEAL,Serawise Eczema Rescue,DrAnaMaria.com LLC,CREAM,TOPICAL
84549-301,Succinylcholine Chloride,Succinylcholine Chloride,ProPharma Distribution,"INJECTION, SOLUTION","INTRAMUSCULAR, INTRAVENOUS"
11584-0030,butalbital and acetaminophen,Tencon,El Dorado Distributors LLC,TABLET,ORAL
11673-753,esomeprazole magnesium,Up and Up Esomeprazole Magnesium,Target Corporation,"CAPSULE, DELAYED RELEASE",ORAL
11822-0061,omeprazole,omeprazole,Rite Aid,"CAPSULE, DELAYED RELEASE",ORAL
11822-3024,"Hydrogen Peroxide, Menthol",Oral Sore Antiseptic,Rite Aid Corporation,LIQUID,ORAL
10967-614,Aluminum Zirconium Tetrachlorohydrex Gly liquid,Mitchum Smart Solid,Revlon Consumer Products Corp,LIQUID,TOPICAL
71851-005,pemivibart,,"WuXi Biologics Co., Ltd",INJECTION,
72450-824,Aluminum Zirconium Trichlorohydrex Gly,,"Elementis SRL, Inc.",POWDER,
73056-002,"ACETAMINOPHEN, CAFFEINE, PYRILAMINE MALEATE",,Bioventure Healthcare - FZE,TABLET,
73377-228,Brimonidine Tartrate,,AX Pharmaceutical Corp,POWDER,
75895-0279,Mometasone Furoate,,MSD International GmbH (Singapore Branch),INHALANT,
76397-014,Macitentan,,"Zhejiang Ausun Pharmaceutical Co., Ltd.",POWDER,
80425-0445,Cyclobenzaprine Hydrochloride,,"Advanced Rx Pharmacy of Tennessee, LLC",KIT,
82139-0025,Mycophenolate Sodium,,RAKSHIT DRUGS PRIVATE LIMITED,POWDER,
82646-002,CRIIa,,MERIBEL PHARMA PESSAC,"PELLETS, COATED, EXTENDED RELEASE",
86184-224,LAPATINIB DITOSYLATE MONOHYDRATE,,MAEDA INC,POWDER,
83511-010,Niacinamide,,STHREE CHEMICALS PRIVATE LIMITED,POWDER,
84206-0013,ATORVASTATIN CALCIUM,,Matrix Pharmacorp Private Limited,POWDER,
84586-001,CX-038839 OMICRON (XBB.1.5),,Alloga Logstica Espaa S.L.,"INJECTION, SUSPENSION",
85207-060,Epithalon Acetate,,SCH Global Services Private Limited,POWDER,
21130-947,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine HCl",Daytime Cold and Flu,"BETTER LIVING BRANDS, LLC",LIQUID,ORAL
0093-5417,Clozapine,Clozapine,"Teva Pharmaceuticals USA, Inc.","TABLET, ORALLY DISINTEGRATING",ORAL
22840-1418,Fraxinus velutina,Arizona Velvet Ash Pollen,"Greer Laboratories, Inc.",SOLUTION,"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS"
0093-7273,Pioglitazone,Pioglitazone,"Teva Pharmaceuticals USA, Inc.",TABLET,ORAL
22840-3489,Platanus occidentalis,American Sycamore Pollen,"Greer Laboratories, Inc.",SOLUTION,"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS"
12121-006,NITROGEN,NITROGEN,"Badger Welding Supplies, Inc.",GAS,RESPIRATORY (INHALATION)
13668-090,OLANZAPINE,OLANZAPINE,Torrent Pharmaceuticals Limited,"TABLET, ORALLY DISINTEGRATING",ORAL
13734-185,"OCTINOXATE, TITANIUM DIOXIDE",NARS PURE RADIANT TINTED MOISTURIZER Mykonos,NARS Cosmetics,CREAM,TOPICAL
14222-0420,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",RODAN AND FIELDS REVERSE 4 BROAD SPECTRUM SPF 50 PLUS SUNSCREEN,Rodan & Fields,CREAM,TOPICAL
15631-0108,CARBO VEGETABILIS,CARBO VEGETABILIS,"Rxhomeo Private Limited d.b.a. Rxhomeo, Inc",PELLET,ORAL
16103-378,Sennosides 8.6mg and Docusate Sodium 50mg,Senna-S,"Pharbest Pharmaceuticals, Inc.","TABLET, FILM COATED",ORAL
16714-036,Enoxaparin Sodium,Enoxaparin Sodium,NorthStar Rx LLC,INJECTION,SUBCUTANEOUS
16714-671,Ondansetron Hydrochloride,Ondansetron,NorthStar Rx LLC,SOLUTION,ORAL
21130-385,"Dextromethorphan HBr, Guaifenesin",Adult Cough and Chest Congestion Relief DM Non Drowsy,"Safeway, Inc.",LIQUID,ORAL
16729-237,ropinirole,ropinirole,Accord Healthcare Inc.,"TABLET, FILM COATED",ORAL
17089-475,pork liver - lycopodium clavatum spore - strychnos nux vomica seed - sus scrofa pancreas - aethusa cynapium -,GUNA DIGESTION PLUS,Guna spa,SOLUTION/ DROPS,ORAL
17856-1122,Childrens Acetaminophen,MAX relief junior Grape,ATLANTIC BIOLOGICALS CORP.,LIQUID,ORAL
31722-323,lisdexamfetamine dimesylate,LISDEXAMFETAMINE DIMESYLATE,"Camber Pharmaceuticals, Inc.","TABLET, CHEWABLE",ORAL
31722-716,Atomoxetine,Atomoxetine,"Camber Pharmaceuticals, Inc.",CAPSULE,ORAL
33342-043,Sildenafil,Sildenafil,Macleods Pharmaceuticals Limited,"TABLET, FILM COATED",ORAL
33342-333,Triamcinolone acetonide,Triamcinolone acetonide,Macleods Pharmaceuticals Limited,OINTMENT,TOPICAL
22840-5469,Populus alba,White Poplar Pollen,"Greer Laboratories, Inc.",SOLUTION,"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS"
22840-9403,"Betula lenta, Betula nigra and Betula populifolia",Birch Pollen Mix,"Greer Laboratories, Inc.",SOLUTION,"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS"
23155-258,Adenosine,Adenosine,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,"INJECTION, SOLUTION",INTRAVENOUS
23667-060,"TITANIUM DIOXIDE, ZINC OXIDE",Banana Boat kids mineral Vanishing Blue Foam SPF 50 Berry Blast,"Formulated Solutions, LLC","AEROSOL, FOAM",TOPICAL
24338-855,Dextroamphetamine Sulfate,Zenzedi,"Azurity Pharmaceuticals, Inc.",TABLET,ORAL
24909-036,THUJA OCCIDENTALIS WHOLE,Terrasil Tinea Antifungal Cleansing Bar,"Aidance Scientific, Inc, DBA Aidance Skincare & Topical Solutions",SOAP,TOPICAL
25021-192,ciprofloxacin,Ciprofloxacin,Sagent Pharmaceuticals,"INJECTION, SOLUTION",INTRAVENOUS
27241-005,RISPERIDONE,RISPERIDONE,Ajanta Pharma USA Inc.,TABLET,ORAL
30142-574,Tetrahydrozoline HCl,Kroger Eye Drops Original,The Kroger Co.,SOLUTION/ DROPS,OPHTHALMIC
31722-011,Deferasirox,Deferasirox,"Camber Pharmaceuticals, Inc.","TABLET, FILM COATED",ORAL
27808-246,Lacosamide,Lacosamide,Tris Pharma Inc,TABLET,ORAL
29485-5515,loratadine tablet,24 / 7 Life Non-Drowsy Allergy Relief,"Lil' Drug Store Products, Inc.",TABLET,ORAL
37662-2184,Kali Sulphuricum,Kali Sulphuricum,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-2415,Acidum Nitricum,Acidum Nitricum,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-2645,Magnesia Arsenata,Magnesia Arsenata,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-2876,Mercurius Cyanatus,Mercurius Cyanatus,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-3106,Zirconium Carbonicum,Zirconium Carbonicum,"Hahnemann Laboratories, INC.",PELLET,ORAL
35000-172,Stannous Fluoride,Colgate Total SF Clean Mint,Colgate-Palmolive Company,"PASTE, DENTIFRICE",DENTAL
35573-433,ketoconazole,KETOCONAZOLE,"Burel Pharmaceuticals, LLC",TABLET,ORAL
36800-341,Bismuth subsalicylate,TopCare Stomach Relief Ultra Strength,TOPCO ASSOCIATES LLC,SUSPENSION,ORAL
36800-925,"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE, and PHENYLEPHRINE HYDROCHLORIDE",Cold Plus Head Congestion Nighttime,TopCo Associates LLC,"TABLET, COATED",ORAL
37662-0099,Calcarea Muriatica,Calcarea Muriatica,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-0337,Citalopram,Citalopram,"Hahnemann Laboratories, INC.",PELLET,ORAL
0121-1038,Megestrol Acetate,Megestrol Acetate,"PAI Holdings, LLC dba PAI Pharma",SUSPENSION,ORAL
37662-0798,Juglans Cinerea,Juglans Cinerea,"Hahnemann Laboratories, INC.",PELLET,ORAL
0121-2094,Acetaminophen,Acetaminophen,"PAI Holdings, LLC dba PAI Pharma",SOLUTION,ORAL
37662-1489,Kali Iodatum,Kali Iodatum,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-1719,Iodium,Iodium,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-1950,Raphanus Sativus,Raphanus Sativus,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-1258,Stellaria Media,Stellaria Media,"Hahnemann Laboratories, INC.",PELLET,ORAL
0143-9596,Paricalcitol,Paricalcitol,West-Ward Pharmaceuticals Corp,INJECTION,INTRAVENOUS
42571-221,Rasagiline,RASAGILINE,Micro Labs Limited,TABLET,ORAL
42681-7353,Witch hazel,Witch Hazel,Whole Foods Market,LIQUID,TOPICAL
0143-9836,Penicillin V Potassium,Penicillin V Potassium,Hikma Pharmaceuticals USA Inc.,"TABLET, FILM COATED",ORAL
37662-3336,Kali Telluricosum,Kali Telluricosum,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-3567,Aluminium Fluoratum,Aluminium Fluoratum,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-3798,Niccolum Iodatum,Niccolum Iodatum,"Hahnemann Laboratories, INC.",PELLET,ORAL
37662-4027,Rubidium Muriaticum,Rubidium Muriaticum,"Hahnemann Laboratories, INC.",PELLET,ORAL
37808-129,"AVOBENZONE, OCTISALATE, OCTOCRYLENE",HEB Oil Free Facial Moisturizer with Sunscreen Broad Spectrum SPF 15,H.E.B,LOTION,TOPICAL
37808-768,"Aspirin, Chlorpheniramine Maleate, Phenylephrine Bitartrate",Effervescent Orange Cold Relief,H. E. Butt Grocery Company,"TABLET, EFFERVESCENT",ORAL
39892-0400,ALCOHOL,MediChoice Instant Hand Sanitizer Honey scented,"O&M HALYARD, INC.",GEL,TOPICAL
41163-763,"Acetaminophen, Dextromethorphan HBr, Doxylamine Succinate, Phenylephrine HCl",equaline nighttime severe cold and flu,"United Natural Foods, Inc. dba UNFI",SOLUTION,ORAL
41415-477,Nasal,Saline,"PUBLIX SUPER MARKETS, INC",SPRAY,NASAL
41226-481,ASPIRIN,ASPIRIN,Kroger Company,"TABLET, COATED",ORAL
41250-508,Psyllium Husk,meijer fiber therapy,MEIJER DISTRIBUTION INC,POWDER,ORAL
0143-9511,Etoposide,Etoposide,Hikma Pharmaceuticals USA Inc.,INJECTION,INTRAVENOUS
0143-9558,Levoleucovorin,Levoleucovorin,Hikma Pharmaceuticals USA Inc.,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS
44087-1117,FOLLITROPIN,Gonal-f RFF Redi-ject,"EMD Serono, Inc.","INJECTION, SOLUTION",SUBCUTANEOUS
44911-0159,Natrum Muriaticum,Nat Mur,"Energique, Inc.",LIQUID,ORAL
44911-0642,"Baptisia Tinctoria, Echinacea (Angustifolia), Hydrastis Canadensis, Borrelia Burgdorferi Nosode, Babesia Microti, Ehrlichia Nosode (Canine), Hepatitis B Nosode, Meningococcus Nosode, Arsenicum Album, Bryonia (Alba), Chelidonium Majus, Colchicum Autumnale, Kalmia Latifolia, Ledum Palustre, Lycopodium Clavatum, Phosphorus, Rhus Tox",Jointox BB,"Energique, Inc.",LIQUID,ORAL
45802-491,cyanocobalamin,cyanocobalamin,Padagis Israel Pharmaceuticals Ltd,SPRAY,NASAL
42851-200,Hydroquinone,ZO Skin Health Pigment Control Program Plus Hydroquinone,"ZO Skin Health, Inc.",KIT,
43063-541,benzphetamine hydrochloride,BENZPHETAMINE HYDROCHLORIDE,"PD-Rx Pharmaceuticals, Inc.",TABLET,ORAL
43066-046,Docetaxel,Docetaxel,Baxter Healthcare Corporation,INJECTION,INTRAVENOUS
43386-168,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,"Lupin Pharmaceuticals,Inc.",SOLUTION,ORAL
43598-745,Ezetimibe and Simvastatin,Ezetimibe and Simvastatin,Dr.Reddys Laboratories Inc,TABLET,ORAL
43419-094,"Homosalate, Octinoxate,Octisalate, and Titanium Dioxide",Sulwhasoo UV Wise On-The-Go Sun Cushion,Amorepacific Corporation,LOTION,TOPICAL
43547-367,valsartan,Valsartan,"Solco Healthcare US, LLC",TABLET,ORAL
43598-161,Lansoprazole,Lansoprazole,Dr. Reddy's Laboratories Inc.,"CAPSULE, DELAYED RELEASE",ORAL
43742-2238,"Adenosinum Triphosphoricum Dinatrum, Alternaria Tenuis Nees, Aspergillus Niger, Berberis Vulgaris, Brugia Malayi, Candida Albicans, Candida Parapsilosis, Carbolicum Acidum, Cochlearia Armoracia, Echinacea (Angustifolia), Ferrum Metallicum, Formalinum, Glandula Suprarenalis Suis, Hydrastis Canadensis, Iridium Metallicum, Lomatium Dissectum, Lycopodium Clavatum, Methylcobalamin, Mucor Racemosus, Mutabile Bacillus (Bach), Myrrha, Phosphoricum Acidum, Propolis, Pulsatilla (Pratensis), Rhizopus Nigricans,",FNG,"Deseret Biologicals, Inc.",LIQUID,ORAL
43742-1519,"Equisetum Hyemale, Solidago Virgaurea, Cantharis, Kidney (Suis), Berberis Vulgaris, Calcarea Carbonica, Terebinthina, Apis Mellifica, Pulsatilla (Pratensis), Sepia, Staphysagria",Kidney/Bladder Support,"Deseret Biologicals, Inc.",LIQUID,ORAL
43857-0379,"Humulus Lupulus, Passiflora Incarnata, Valeriana Officinalis, Ambrosia Artemisiaefolia, Arsenicum Album, Coffea Tosta, Lycopodium Clavatum, Nux Vomica, Phosphoricum Acidum, Silicea",Somineze,"BioActive Nutritional, Inc.",LIQUID,ORAL
49825-100,Salicylic Acid,Daily Meds,"Bioelements, Inc.",LOTION,TOPICAL
49967-298,Pyrithione Zinc,CeraVe Anti Dandruff Hydrating,L'Oreal USA Products Inc,SHAMPOO,TOPICAL
50090-0140,Hydrochlorothiazide,Hydrochlorothiazide,A-S Medication Solutions,TABLET,ORAL
50090-1428,Guaifenesin and Codeine Phosphate,Guaifenesin and Codeine Phosphate,A-S Medication Solutions,SOLUTION,ORAL
50090-2597,Ibuprofen,Ibuprofen,A-S Medication Solutions,"TABLET, FILM COATED",ORAL
46122-617,Ibuprofen,Good Neighbor Pharmacy Childrens Ibuprofen,Amerisource Bergen,"TABLET, CHEWABLE",ORAL
46708-025,Theophylline,Theophylline,Alembic Pharmaceuticals Limited,"TABLET, EXTENDED RELEASE",ORAL
46708-432,venlafaxine,venlafaxine,Alembic Pharmaceuticals Limited,TABLET,ORAL
46708-813,nelarabine,NELARABINE,Alembic Pharmaceuticals Limited,INJECTION,INTRAVENOUS
47593-469,Triclosan,Ecolab,Ecolab Inc.,SOLUTION,TOPICAL
0220-0169,ONION,Allium cepa,Boiron,PELLET,ORAL
0220-0215,ALUMINUM OXIDE,Alumina,Boiron,PELLET,ORAL
0220-0300,AMYL NITRITE,Amyl nitrosum,Boiron,PELLET,ORAL
49483-349,Aspirin,Aspirin Delayed Release,"Time-Cap Labs, Inc","TABLET, DELAYED RELEASE",ORAL
49035-389,carboxymethylcellulose sodium,Equate Restore Plus Lubricant Eye Drops,"Walmart, Inc.",SOLUTION/ DROPS,OPHTHALMIC
49035-998,Nicotine Polacrilex,Equate Nicotine,Wal-Mart Stores Inc,LOZENGE,ORAL
49643-176,Ustilago avenae,"Smut, Oat","Allermed Laboratories, Inc.",LIQUID,"PERCUTANEOUS, SUBCUTANEOUS"
50332-0148,ACETAMINOPHEN,CETAFEN,HART Health,TABLET,ORAL
0009-7807,linezolid,Zyvox,Pharmacia & Upjohn Company LLC,"INJECTION, SOLUTION",INTRAVENOUS
0220-1502,CITRULLUS COLOCYNTHIS FRUIT PULP,Colocynthis,Boiron,PELLET,ORAL
0220-1570,SAFFRON,CROCUS SATIVUS,Boiron,PELLET,ORAL
50090-3983,Quetiapine Fumarate,Quetiapine Fumarate,A-S Medication Solutions,"TABLET, FILM COATED",ORAL
50090-5121,Lisinopril,Lisinopril,A-S Medication Solutions,TABLET,ORAL
50090-5751,Benazepril Hydrochloride,Benazepril Hydrochloride,A-S Medication Solutions,"TABLET, FILM COATED",ORAL
50090-7537,leflunomide,leflunomide,A-S Medication Solutions,"TABLET, FILM COATED",ORAL
50090-6232,valsartan and hydrochlorothiazide,VALSARTAN AND HYDROCHLOROTHIAZIDE,A-S Medication Solutions,"TABLET, FILM COATED",ORAL
50090-6610,Levothyroxine Sodium,Levothyroxine sodium,A-S Medication Solutions,TABLET,ORAL
50090-6932,Famotidine,Famotidine,A-S Medication Solutions,"TABLET, FILM COATED",ORAL
50090-7261,Torsemide,Torsemide,A-S Medication Solutions,TABLET,ORAL
50090-7797,Spironolactone,Spironolactone,A-S Medication Solutions,"TABLET, COATED",ORAL
50227-1009,Benzocaine,Patterson Dental Topical Anesthetic,Patterson Dental,GEL,DENTAL
50242-087,ADO-TRASTUZUMAB EMTANSINE,KADCYLA,"Genentech, Inc.","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS
50268-478,LEFLUNOMIDE,LEFLUNOMIDE,AvPAK,TABLET,ORAL
50991-444,"Dextromethorphan HBr, Pheniramine Maleate, Phenylephrine HCl",ALAHIST DM,"Poly Pharmaceuticals, Inc.",LIQUID,ORAL
51079-574,trifluoperazine hydrochloride,Trifluoperazine Hydrochloride,Mylan Institutional Inc.,"TABLET, FILM COATED",ORAL
51316-097,Acetaminophen,Childrens Pain and Fever,"CVS WOONSOCKET PRESCRIPTION CENTER, INCORPORATED",SUSPENSION,ORAL
51316-689,Miconazole nitrate,Miconazole 3,"CVS WOONSOCKET PRESCRIPTION CENTER, INCORPORATED",KIT,
52000-038,Menthol and Zinc Oxide,Medicated Body,Universal Distribution Center LLC,POWDER,TOPICAL
52305-802,Benzalkonium Chloride,Wasted,Freshorize Ltd,LIQUID,TOPICAL
52642-044,Menthol,Honey Lemon Cough Drops,Bestco Inc.,LOZENGE,ORAL
53041-191,Guaifenesin,Mucus Relief Maximum Strength 1200 mg,Guardian Drug Company,"TABLET, EXTENDED RELEASE",ORAL
51655-076,Hydroxyzine hydrochloride,Hydroxyzine hydrochloride,"Northwind Health Company, LLC",TABLET,ORAL
51655-541,PREDNISONE,prednisone,"Northwind Health Company, LLC",TABLET,ORAL
51407-040,Carvedilol,Carvedilol,"Golden State Medical Supply, Inc.","TABLET, FILM COATED",ORAL
51407-602,Captopril,Captopril,"Golden State Medical Supply, Inc.",TABLET,ORAL
51407-969,Hydroxyzine hydrochloride,Hydroxyzine hydrochloride,"Golden State Medical Supply, Inc.",TABLET,ORAL
51660-492,pseudoephedrine hydrochloride,Pseudoephedrine hydrochloride,Ohm Laboratories Inc.,"TABLET, EXTENDED RELEASE",ORAL
51662-1520,0.9% SODIUM CHLORIDE,0.9% SODIUM CHLORIDE,"HF Acquisition Co LLC, DBA HealthFirst","INJECTION, SOLUTION",INTRAVENOUS
51672-2002,Clotrimazole,Clotrimazole,"Sun Pharmaceutical Industries, Inc.",CREAM,TOPICAL
51759-960,risperidone,UZEDY,"Teva Pharmaceuticals USA, Inc.","INJECTION, SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS
53238-002,"POTASSIUM NITRATE, SODIUM MONOFLUOROPHOSPHATE",PERIOSCIENCES SENSITIVE AO Pro,PERIOSCIENCES LLC,"PASTE, DENTIFRICE",DENTAL
53499-0803,"ACONITUM NAPELLUS, BRYONIA ALBA ROOT, EUCALYPTUS GLOBULUS LEAF, EUPATORIUM PERFOLIATUM FLOWERING TOP, GELSEMIUM SEMPERVIRENS ROOT, IPECAC, PHOSPHORUS, SAMBUCUS NIGRA FLOWERING TOP",Sambucus Flu Relief,"Schwabe North America, Inc.",SYRUP,ORAL
53645-2530,Quercus Radix-Cinis 20X,Quercus Radix-Cinis 20X,"True Botanica, LLC",LIQUID,ORAL
0023-3988,"carboxymethylcellulose sodium, Glycerin, Polysorbate 80",Refresh Optive Mega-3 PF,"Allergan, Inc.",SOLUTION/ DROPS,OPHTHALMIC
54738-040,Acetaminophen,APAP,"Richmond Pharmaceuticals, Inc.",TABLET,ORAL
54860-556,alcohol,Smart Care Hand Sanitizer Wild Cherry Blossom,"Shenzhen Lantern Scicence Co.,Ltd.",SPRAY,TOPICAL
55111-279,Levofloxacin,Levofloxacin,Dr. Reddy's Laboratories Limited,"TABLET, FILM COATED",ORAL
54092-253,lanthanum carbonate,Fosrenol,"Takeda Pharmaceuticals America, Inc.","TABLET, CHEWABLE",ORAL
0220-3254,MAGNESIUM CHLORIDE,Magnesia muriatica,Boiron,PELLET,ORAL
85163-011,GLYCERIN,OUHOE Biotin With Hydrolyzed Collagen,"Shantou Ouhoe Technology Co., Ltd.",LIQUID,TOPICAL
85248-077,salicylic acid 1% FACIAL BUMP REFINING ESSENCE,Beilloso FACIAL BUMP REFINING ESSENCE,"Jiangxi Yudexi Pharmaceutical Co., LTD",LIQUID,TOPICAL
85298-205,Zinc Oxide,Skin Tone Defender 20% Zinc Oxide,Cali Skin Care LLC,CREAM,TOPICAL
85373-208,Zinc Oxide,Parasol Daily Mineral Sunscreen,"Bodi & Wax, LLC",CREAM,TOPICAL
85438-208,Zinc Oxide,PROTECTOR SOLAR TINTED SPF SUNSCREEN,The Beez Kneez Skin Care & Acne Clinic LLC,CREAM,TOPICAL
85513-208,Zinc Oxide,Tinted Replenishing Daily Protection,"THE AESTHETICS ACADEMY, LLC",CREAM,TOPICAL
